CustomerID,Age,Income,PurchaseAmount,TransactionsPerMonth,LoyaltyMember
1,56,93969.0,176.42052935932134,7.0,No
2,69,63001.0,294.21323742121183,19.0,No
3,46,96552.0,113.4159012386432,2.0,No
4,32,43897.0,410.98864133931784,10.0,No
5,60,88148.0,83.54778965589688,13.0,Yes
6,25,43483.0,494.0991214702328,6.0,No
7,38,68555.0,397.51014618349586,12.0,Yes
8,56,37159.0,139.4220566903776,12.0,Yes
9,36,100077.0,52.48495270562108,11.0,No
10,40,55920.0,416.95764280467534,7.0,Yes
11,28,112067.0,368.0858047314277,1.0,Yes
12,28,87121.0,378.0532256184443,1.0,Yes
13,41,89479.0,397.0716560086756,13.0,No
14,53,109475.0,83.32009328034067,9.0,No
15,57,39457.0,211.30957784492267,3.0,Yes
16,41,86557.0,102.14107678630836,7.0,No
17,20,97189.0,438.3965416440171,6.0,No
18,39,98953.0,330.48415707240105,8.0,No
19,19,72995.0,198.90411118369212,9.0,No
20,41,60757.0,78.60125762871064,5.0,Yes
21,61,29692.0,189.942044772048,1.0,Yes
22,47,65758.0,196.33249491203617,19.0,No
23,55,92409.0,378.3227802521288,10.0,No
24,19,91211.0,336.9008621098459,12.0,Yes
25,38,85697.0,449.24573415934697,15.0,Yes
26,50,57065.0,262.4967163228772,9.0,No
27,29,112093.0,103.81741067223577,17.0,Yes
28,39,119299.0,370.9601542503477,17.0,No
29,61,52606.0,392.35327187760385,12.0,No
30,42,31534.0,302.5747389062733,7.0,Yes
31,66,114663.0,396.9352309795525,2.0,Yes
32,44,60397.0,272.20801836397584,3.0,No
33,59,111387.0,285.2297732218973,17.0,No
34,45,21016.0,242.39345826134732,5.0,Yes
35,33,109789.0,61.43860703484283,17.0,No
36,32,75591.0,98.551142146987,17.0,Yes
37,64,109812.0,64.14313355903042,17.0,No
38,68,43247.0,336.3846850687012,2.0,Yes
39,61,44300.0,191.460191484347,2.0,Yes
40,69,94065.0,278.85681102411627,5.0,Yes
41,20,102798.0,458.40491326674186,1.0,No
42,54,29268.0,162.18150311699372,1.0,No
43,68,106807.0,234.6723153660334,19.0,Yes
44,24,32185.0,389.9980123443719,2.0,No
45,38,83704.0,152.9591744712301,12.0,Yes
46,26,,765.2016382823535,31.75,Yes
47,56,,765.2016382823535,31.75,No
48,35,,765.2016382823535,31.75,No
49,21,,50.0,1.0,Yes
50,42,,25.0,0.0,No
